prompt_id,vignette_id,setting,condition,model,facility,block,primary,secondary,system_prompt,user_prompt
P0277,M19,B,1,GPT-4o-mini,General hospital Enugu State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Enugu State Nigeria.

A 34-year-old male labourer on a construction site presents on account of vomiting of blood of 1 day duration, with a background of chest pain of 1 week duration. The vomiting has occurred three times today containing about 200 mL of fresh bright red blood. He reports associated lightheadedness. He also reports passing dark stools since yesterday which is foul smelling. The chest pain is characterised to be sharp, worsens shortly after eating. He has been taking ‘pain medications’ due to the nature of work and regular body aches about 3 tablets daily for the past 6 weeks He is not on any prescribed medications and has no known drug allergies.
On examination: A young adult male in painful distress, afebrile, pale, not jaundiced, not cyanosed, dehydrated. No pedal edema.HR 112 bpm, regular BP 100/70 mmHg RR 18/min · SpO₂ 98% Abdominal examination: Flat, moves with respiration. Generalised tenderness on palpation, maximal in the epigastric region. No guarding, no rigidity Liver not palpable, spleen not palpable. No ascites. Bowel sounds are hyperactive."
P0278,M19,B,1,Claude-Sonnet,General hospital Enugu State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Enugu State Nigeria.

A 34-year-old male labourer on a construction site presents on account of vomiting of blood of 1 day duration, with a background of chest pain of 1 week duration. The vomiting has occurred three times today containing about 200 mL of fresh bright red blood. He reports associated lightheadedness. He also reports passing dark stools since yesterday which is foul smelling. The chest pain is characterised to be sharp, worsens shortly after eating. He has been taking ‘pain medications’ due to the nature of work and regular body aches about 3 tablets daily for the past 6 weeks He is not on any prescribed medications and has no known drug allergies.
On examination: A young adult male in painful distress, afebrile, pale, not jaundiced, not cyanosed, dehydrated. No pedal edema.HR 112 bpm, regular BP 100/70 mmHg RR 18/min · SpO₂ 98% Abdominal examination: Flat, moves with respiration. Generalised tenderness on palpation, maximal in the epigastric region. No guarding, no rigidity Liver not palpable, spleen not palpable. No ascites. Bowel sounds are hyperactive."
P0279,M19,B,1,Gemini-Flash,General hospital Enugu State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Enugu State Nigeria.

A 34-year-old male labourer on a construction site presents on account of vomiting of blood of 1 day duration, with a background of chest pain of 1 week duration. The vomiting has occurred three times today containing about 200 mL of fresh bright red blood. He reports associated lightheadedness. He also reports passing dark stools since yesterday which is foul smelling. The chest pain is characterised to be sharp, worsens shortly after eating. He has been taking ‘pain medications’ due to the nature of work and regular body aches about 3 tablets daily for the past 6 weeks He is not on any prescribed medications and has no known drug allergies.
On examination: A young adult male in painful distress, afebrile, pale, not jaundiced, not cyanosed, dehydrated. No pedal edema.HR 112 bpm, regular BP 100/70 mmHg RR 18/min · SpO₂ 98% Abdominal examination: Flat, moves with respiration. Generalised tenderness on palpation, maximal in the epigastric region. No guarding, no rigidity Liver not palpable, spleen not palpable. No ascites. Bowel sounds are hyperactive."
P0280,M19,B,1,LLaMA-3-70B,General hospital Enugu State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Enugu State Nigeria.

A 34-year-old male labourer on a construction site presents on account of vomiting of blood of 1 day duration, with a background of chest pain of 1 week duration. The vomiting has occurred three times today containing about 200 mL of fresh bright red blood. He reports associated lightheadedness. He also reports passing dark stools since yesterday which is foul smelling. The chest pain is characterised to be sharp, worsens shortly after eating. He has been taking ‘pain medications’ due to the nature of work and regular body aches about 3 tablets daily for the past 6 weeks He is not on any prescribed medications and has no known drug allergies.
On examination: A young adult male in painful distress, afebrile, pale, not jaundiced, not cyanosed, dehydrated. No pedal edema.HR 112 bpm, regular BP 100/70 mmHg RR 18/min · SpO₂ 98% Abdominal examination: Flat, moves with respiration. Generalised tenderness on palpation, maximal in the epigastric region. No guarding, no rigidity Liver not palpable, spleen not palpable. No ascites. Bowel sounds are hyperactive."
P0281,M19,C,1,GPT-4o-mini,Primary healthcare centre Enugu State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre Enugu State Nigeria.

A 34-year-old male labourer on a construction site presents on account of vomiting of blood of 1 day duration, with a background of chest pain of 1 week duration. The vomiting has occurred three times today containing about 200 mL of fresh bright red blood. He reports associated lightheadedness. He also reports passing dark stools since yesterday which is foul smelling. The chest pain is characterised to be sharp, worsens shortly after eating. He has been taking ‘pain medications’ due to the nature of work and regular body aches about 3 tablets daily for the past 6 weeks He is not on any prescribed medications and has no known drug allergies.
On examination: A young adult male in painful distress, afebrile, pale, not jaundiced, not cyanosed, dehydrated. No pedal edema.HR 112 bpm, regular BP 100/70 mmHg RR 18/min · SpO₂ 98% Abdominal examination: Flat, moves with respiration. Generalised tenderness on palpation, maximal in the epigastric region. No guarding, no rigidity Liver not palpable, spleen not palpable. No ascites. Bowel sounds are hyperactive."
P0282,M19,C,1,Claude-Sonnet,Primary healthcare centre Enugu State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre Enugu State Nigeria.

A 34-year-old male labourer on a construction site presents on account of vomiting of blood of 1 day duration, with a background of chest pain of 1 week duration. The vomiting has occurred three times today containing about 200 mL of fresh bright red blood. He reports associated lightheadedness. He also reports passing dark stools since yesterday which is foul smelling. The chest pain is characterised to be sharp, worsens shortly after eating. He has been taking ‘pain medications’ due to the nature of work and regular body aches about 3 tablets daily for the past 6 weeks He is not on any prescribed medications and has no known drug allergies.
On examination: A young adult male in painful distress, afebrile, pale, not jaundiced, not cyanosed, dehydrated. No pedal edema.HR 112 bpm, regular BP 100/70 mmHg RR 18/min · SpO₂ 98% Abdominal examination: Flat, moves with respiration. Generalised tenderness on palpation, maximal in the epigastric region. No guarding, no rigidity Liver not palpable, spleen not palpable. No ascites. Bowel sounds are hyperactive."
P0283,M19,C,1,Gemini-Flash,Primary healthcare centre Enugu State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre Enugu State Nigeria.

A 34-year-old male labourer on a construction site presents on account of vomiting of blood of 1 day duration, with a background of chest pain of 1 week duration. The vomiting has occurred three times today containing about 200 mL of fresh bright red blood. He reports associated lightheadedness. He also reports passing dark stools since yesterday which is foul smelling. The chest pain is characterised to be sharp, worsens shortly after eating. He has been taking ‘pain medications’ due to the nature of work and regular body aches about 3 tablets daily for the past 6 weeks He is not on any prescribed medications and has no known drug allergies.
On examination: A young adult male in painful distress, afebrile, pale, not jaundiced, not cyanosed, dehydrated. No pedal edema.HR 112 bpm, regular BP 100/70 mmHg RR 18/min · SpO₂ 98% Abdominal examination: Flat, moves with respiration. Generalised tenderness on palpation, maximal in the epigastric region. No guarding, no rigidity Liver not palpable, spleen not palpable. No ascites. Bowel sounds are hyperactive."
P0284,M19,C,1,LLaMA-3-70B,Primary healthcare centre Enugu State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre Enugu State Nigeria.

A 34-year-old male labourer on a construction site presents on account of vomiting of blood of 1 day duration, with a background of chest pain of 1 week duration. The vomiting has occurred three times today containing about 200 mL of fresh bright red blood. He reports associated lightheadedness. He also reports passing dark stools since yesterday which is foul smelling. The chest pain is characterised to be sharp, worsens shortly after eating. He has been taking ‘pain medications’ due to the nature of work and regular body aches about 3 tablets daily for the past 6 weeks He is not on any prescribed medications and has no known drug allergies.
On examination: A young adult male in painful distress, afebrile, pale, not jaundiced, not cyanosed, dehydrated. No pedal edema.HR 112 bpm, regular BP 100/70 mmHg RR 18/min · SpO₂ 98% Abdominal examination: Flat, moves with respiration. Generalised tenderness on palpation, maximal in the epigastric region. No guarding, no rigidity Liver not palpable, spleen not palpable. No ascites. Bowel sounds are hyperactive."
P0285,M20,A,1,GPT-4o-mini,Teaching Hospital Oyo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching Hospital Oyo State Nigeria.

A 38 year old woman presents with a 1 week history of nausea, vomiting and headache, worse in the mornings. There is no hx of fever, neckpain or photophobia, however she reports having double vision that has made navigation quite difficult. No hx of convulsion. She is not a known diabetic or hypertensive patient. On examination, the left pupil is 3 mm and reactive to light, while the right pupil is 5mm and fixed. There is a lateral and inferior deviation of the right eye. Temp is 37 oC, PR is 58 bpm, BP is 140/90 mmhg, RR is 16c/min, SpO2 is 98% in room air."
P0286,M20,A,1,Claude-Sonnet,Teaching Hospital Oyo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching Hospital Oyo State Nigeria.

A 38 year old woman presents with a 1 week history of nausea, vomiting and headache, worse in the mornings. There is no hx of fever, neckpain or photophobia, however she reports having double vision that has made navigation quite difficult. No hx of convulsion. She is not a known diabetic or hypertensive patient. On examination, the left pupil is 3 mm and reactive to light, while the right pupil is 5mm and fixed. There is a lateral and inferior deviation of the right eye. Temp is 37 oC, PR is 58 bpm, BP is 140/90 mmhg, RR is 16c/min, SpO2 is 98% in room air."
P0287,M20,A,1,Gemini-Flash,Teaching Hospital Oyo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching Hospital Oyo State Nigeria.

A 38 year old woman presents with a 1 week history of nausea, vomiting and headache, worse in the mornings. There is no hx of fever, neckpain or photophobia, however she reports having double vision that has made navigation quite difficult. No hx of convulsion. She is not a known diabetic or hypertensive patient. On examination, the left pupil is 3 mm and reactive to light, while the right pupil is 5mm and fixed. There is a lateral and inferior deviation of the right eye. Temp is 37 oC, PR is 58 bpm, BP is 140/90 mmhg, RR is 16c/min, SpO2 is 98% in room air."
P0288,M20,A,1,LLaMA-3-70B,Teaching Hospital Oyo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching Hospital Oyo State Nigeria.

A 38 year old woman presents with a 1 week history of nausea, vomiting and headache, worse in the mornings. There is no hx of fever, neckpain or photophobia, however she reports having double vision that has made navigation quite difficult. No hx of convulsion. She is not a known diabetic or hypertensive patient. On examination, the left pupil is 3 mm and reactive to light, while the right pupil is 5mm and fixed. There is a lateral and inferior deviation of the right eye. Temp is 37 oC, PR is 58 bpm, BP is 140/90 mmhg, RR is 16c/min, SpO2 is 98% in room air."
P0289,M20,B,1,GPT-4o-mini,"General hospital, Oyo State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital, Oyo State Nigeria.

A 38 year old woman presents with a 1 week history of nausea, vomiting and headache, worse in the mornings. There is no hx of fever, neckpain or photophobia, however she reports having double vision that has made navigation quite difficult. No hx of convulsion. She is not a known diabetic or hypertensive patient. On examination, the left pupil is 3 mm and reactive to light, while the right pupil is 5mm and fixed. There is a lateral and inferior deviation of the right eye. Temp is 37 oC, PR is 58 bpm, BP is 140/90 mmhg, RR is 16c/min, SpO2 is 98% in room air."
P0290,M20,B,1,Claude-Sonnet,"General hospital, Oyo State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital, Oyo State Nigeria.

A 38 year old woman presents with a 1 week history of nausea, vomiting and headache, worse in the mornings. There is no hx of fever, neckpain or photophobia, however she reports having double vision that has made navigation quite difficult. No hx of convulsion. She is not a known diabetic or hypertensive patient. On examination, the left pupil is 3 mm and reactive to light, while the right pupil is 5mm and fixed. There is a lateral and inferior deviation of the right eye. Temp is 37 oC, PR is 58 bpm, BP is 140/90 mmhg, RR is 16c/min, SpO2 is 98% in room air."
P0291,M20,B,1,Gemini-Flash,"General hospital, Oyo State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital, Oyo State Nigeria.

A 38 year old woman presents with a 1 week history of nausea, vomiting and headache, worse in the mornings. There is no hx of fever, neckpain or photophobia, however she reports having double vision that has made navigation quite difficult. No hx of convulsion. She is not a known diabetic or hypertensive patient. On examination, the left pupil is 3 mm and reactive to light, while the right pupil is 5mm and fixed. There is a lateral and inferior deviation of the right eye. Temp is 37 oC, PR is 58 bpm, BP is 140/90 mmhg, RR is 16c/min, SpO2 is 98% in room air."
P0292,M20,B,1,LLaMA-3-70B,"General hospital, Oyo State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital, Oyo State Nigeria.

A 38 year old woman presents with a 1 week history of nausea, vomiting and headache, worse in the mornings. There is no hx of fever, neckpain or photophobia, however she reports having double vision that has made navigation quite difficult. No hx of convulsion. She is not a known diabetic or hypertensive patient. On examination, the left pupil is 3 mm and reactive to light, while the right pupil is 5mm and fixed. There is a lateral and inferior deviation of the right eye. Temp is 37 oC, PR is 58 bpm, BP is 140/90 mmhg, RR is 16c/min, SpO2 is 98% in room air."
P0293,M20,C,1,GPT-4o-mini,"Primary healthcare centre Oyo State, NIgeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre Oyo State, NIgeria.

A 38 year old woman presents with a 1 week history of nausea, vomiting and headache, worse in the mornings. There is no hx of fever, neckpain or photophobia, however she reports having double vision that has made navigation quite difficult. No hx of convulsion. She is not a known diabetic or hypertensive patient. On examination, the left pupil is 3 mm and reactive to light, while the right pupil is 5mm and fixed. There is a lateral and inferior deviation of the right eye. Temp is 37 oC, PR is 58 bpm, BP is 140/90 mmhg, RR is 16c/min, SpO2 is 98% in room air."
P0294,M20,C,1,Claude-Sonnet,"Primary healthcare centre Oyo State, NIgeria",2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre Oyo State, NIgeria.

A 38 year old woman presents with a 1 week history of nausea, vomiting and headache, worse in the mornings. There is no hx of fever, neckpain or photophobia, however she reports having double vision that has made navigation quite difficult. No hx of convulsion. She is not a known diabetic or hypertensive patient. On examination, the left pupil is 3 mm and reactive to light, while the right pupil is 5mm and fixed. There is a lateral and inferior deviation of the right eye. Temp is 37 oC, PR is 58 bpm, BP is 140/90 mmhg, RR is 16c/min, SpO2 is 98% in room air."
P0295,M20,C,1,Gemini-Flash,"Primary healthcare centre Oyo State, NIgeria",2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre Oyo State, NIgeria.

A 38 year old woman presents with a 1 week history of nausea, vomiting and headache, worse in the mornings. There is no hx of fever, neckpain or photophobia, however she reports having double vision that has made navigation quite difficult. No hx of convulsion. She is not a known diabetic or hypertensive patient. On examination, the left pupil is 3 mm and reactive to light, while the right pupil is 5mm and fixed. There is a lateral and inferior deviation of the right eye. Temp is 37 oC, PR is 58 bpm, BP is 140/90 mmhg, RR is 16c/min, SpO2 is 98% in room air."
P0296,M20,C,1,LLaMA-3-70B,"Primary healthcare centre Oyo State, NIgeria",2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre Oyo State, NIgeria.

A 38 year old woman presents with a 1 week history of nausea, vomiting and headache, worse in the mornings. There is no hx of fever, neckpain or photophobia, however she reports having double vision that has made navigation quite difficult. No hx of convulsion. She is not a known diabetic or hypertensive patient. On examination, the left pupil is 3 mm and reactive to light, while the right pupil is 5mm and fixed. There is a lateral and inferior deviation of the right eye. Temp is 37 oC, PR is 58 bpm, BP is 140/90 mmhg, RR is 16c/min, SpO2 is 98% in room air."
P0297,M21,A,1,GPT-4o-mini,"Teaching Hospital, Ekiti State Nigeria",2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching Hospital, Ekiti State Nigeria.

A 37 year old man was brought in unconscious. His wife reported that they were having intercourse when he suddenly exclaimed, holding his head. He told his wife he had worst headache of his life. Hours later he became unconscious, necessitating presentation. His father died at 45 o/a of “kidney problems”. There's history of hypertension in his mother. On examination, GCS is 5, neck is stiff, pupils are 3mm bilaterally and reactive to light. Temperature is 37.5 oC, PR is 85 bpm, BP is 110/70 mmhg."
P0298,M21,A,1,Claude-Sonnet,"Teaching Hospital, Ekiti State Nigeria",2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching Hospital, Ekiti State Nigeria.

A 37 year old man was brought in unconscious. His wife reported that they were having intercourse when he suddenly exclaimed, holding his head. He told his wife he had worst headache of his life. Hours later he became unconscious, necessitating presentation. His father died at 45 o/a of “kidney problems”. There's history of hypertension in his mother. On examination, GCS is 5, neck is stiff, pupils are 3mm bilaterally and reactive to light. Temperature is 37.5 oC, PR is 85 bpm, BP is 110/70 mmhg."
P0299,M21,A,1,Gemini-Flash,"Teaching Hospital, Ekiti State Nigeria",2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching Hospital, Ekiti State Nigeria.

A 37 year old man was brought in unconscious. His wife reported that they were having intercourse when he suddenly exclaimed, holding his head. He told his wife he had worst headache of his life. Hours later he became unconscious, necessitating presentation. His father died at 45 o/a of “kidney problems”. There's history of hypertension in his mother. On examination, GCS is 5, neck is stiff, pupils are 3mm bilaterally and reactive to light. Temperature is 37.5 oC, PR is 85 bpm, BP is 110/70 mmhg."
P0300,M21,A,1,LLaMA-3-70B,"Teaching Hospital, Ekiti State Nigeria",2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching Hospital, Ekiti State Nigeria.

A 37 year old man was brought in unconscious. His wife reported that they were having intercourse when he suddenly exclaimed, holding his head. He told his wife he had worst headache of his life. Hours later he became unconscious, necessitating presentation. His father died at 45 o/a of “kidney problems”. There's history of hypertension in his mother. On examination, GCS is 5, neck is stiff, pupils are 3mm bilaterally and reactive to light. Temperature is 37.5 oC, PR is 85 bpm, BP is 110/70 mmhg."
P0301,M21,B,1,GPT-4o-mini,General hospital Ekiti State Nigeria,2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Ekiti State Nigeria.

A 37 year old man was brought in unconscious. His wife reported that they were having intercourse when he suddenly exclaimed, holding his head. He told his wife he had worst headache of his life. Hours later he became unconscious, necessitating presentation. His father died at 45 o/a of “kidney problems”. There's history of hypertension in his mother. On examination, GCS is 5, neck is stiff, pupils are 3mm bilaterally and reactive to light. Temperature is 37.5 oC, PR is 85 bpm, BP is 110/70 mmhg."
P0302,M21,B,1,Claude-Sonnet,General hospital Ekiti State Nigeria,2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Ekiti State Nigeria.

A 37 year old man was brought in unconscious. His wife reported that they were having intercourse when he suddenly exclaimed, holding his head. He told his wife he had worst headache of his life. Hours later he became unconscious, necessitating presentation. His father died at 45 o/a of “kidney problems”. There's history of hypertension in his mother. On examination, GCS is 5, neck is stiff, pupils are 3mm bilaterally and reactive to light. Temperature is 37.5 oC, PR is 85 bpm, BP is 110/70 mmhg."
P0303,M21,B,1,Gemini-Flash,General hospital Ekiti State Nigeria,2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Ekiti State Nigeria.

A 37 year old man was brought in unconscious. His wife reported that they were having intercourse when he suddenly exclaimed, holding his head. He told his wife he had worst headache of his life. Hours later he became unconscious, necessitating presentation. His father died at 45 o/a of “kidney problems”. There's history of hypertension in his mother. On examination, GCS is 5, neck is stiff, pupils are 3mm bilaterally and reactive to light. Temperature is 37.5 oC, PR is 85 bpm, BP is 110/70 mmhg."
P0304,M21,B,1,LLaMA-3-70B,General hospital Ekiti State Nigeria,2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Ekiti State Nigeria.

A 37 year old man was brought in unconscious. His wife reported that they were having intercourse when he suddenly exclaimed, holding his head. He told his wife he had worst headache of his life. Hours later he became unconscious, necessitating presentation. His father died at 45 o/a of “kidney problems”. There's history of hypertension in his mother. On examination, GCS is 5, neck is stiff, pupils are 3mm bilaterally and reactive to light. Temperature is 37.5 oC, PR is 85 bpm, BP is 110/70 mmhg."
P0305,M21,C,1,GPT-4o-mini,"Primary healthcare centre, Ekiti State Nigeria",2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre, Ekiti State Nigeria.

A 37 year old man was brought in unconscious. His wife reported that they were having intercourse when he suddenly exclaimed, holding his head. He told his wife he had worst headache of his life. Hours later he became unconscious, necessitating presentation. His father died at 45 o/a of “kidney problems”. There's history of hypertension in his mother. On examination, GCS is 5, neck is stiff, pupils are 3mm bilaterally and reactive to light. Temperature is 37.5 oC, PR is 85 bpm, BP is 110/70 mmhg."
P0306,M21,C,1,Claude-Sonnet,"Primary healthcare centre, Ekiti State Nigeria",2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre, Ekiti State Nigeria.

A 37 year old man was brought in unconscious. His wife reported that they were having intercourse when he suddenly exclaimed, holding his head. He told his wife he had worst headache of his life. Hours later he became unconscious, necessitating presentation. His father died at 45 o/a of “kidney problems”. There's history of hypertension in his mother. On examination, GCS is 5, neck is stiff, pupils are 3mm bilaterally and reactive to light. Temperature is 37.5 oC, PR is 85 bpm, BP is 110/70 mmhg."
P0307,M21,C,1,Gemini-Flash,"Primary healthcare centre, Ekiti State Nigeria",2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre, Ekiti State Nigeria.

A 37 year old man was brought in unconscious. His wife reported that they were having intercourse when he suddenly exclaimed, holding his head. He told his wife he had worst headache of his life. Hours later he became unconscious, necessitating presentation. His father died at 45 o/a of “kidney problems”. There's history of hypertension in his mother. On examination, GCS is 5, neck is stiff, pupils are 3mm bilaterally and reactive to light. Temperature is 37.5 oC, PR is 85 bpm, BP is 110/70 mmhg."
P0308,M21,C,1,LLaMA-3-70B,"Primary healthcare centre, Ekiti State Nigeria",2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre, Ekiti State Nigeria.

A 37 year old man was brought in unconscious. His wife reported that they were having intercourse when he suddenly exclaimed, holding his head. He told his wife he had worst headache of his life. Hours later he became unconscious, necessitating presentation. His father died at 45 o/a of “kidney problems”. There's history of hypertension in his mother. On examination, GCS is 5, neck is stiff, pupils are 3mm bilaterally and reactive to light. Temperature is 37.5 oC, PR is 85 bpm, BP is 110/70 mmhg."
P0309,M22,A,1,GPT-4o-mini,Teaching Hospital Osun State Nigeria,2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching Hospital Osun State Nigeria.

A 28 year old man presents with a 1 hour hx of sudden jerking movements of the body and upwards rolling of the eyes of about 2 minutes duration. Witness said he was unresponsive during the episode. There is no history of similar history in the past. He is not a known Epilepsy patient, how ever there is a family history of Epilepsy in the father which started in his early 30s. There is no hx of headache, fever or photophobia.  No preceding history of head trauma. Does not take alcohol or use substances.  On examination, he is conscious and alert, pupils are 3 mm bilaterally and reactive to light. Normal tone, power and reflexes in all limbs"
P0310,M22,A,1,Claude-Sonnet,Teaching Hospital Osun State Nigeria,2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching Hospital Osun State Nigeria.

A 28 year old man presents with a 1 hour hx of sudden jerking movements of the body and upwards rolling of the eyes of about 2 minutes duration. Witness said he was unresponsive during the episode. There is no history of similar history in the past. He is not a known Epilepsy patient, how ever there is a family history of Epilepsy in the father which started in his early 30s. There is no hx of headache, fever or photophobia.  No preceding history of head trauma. Does not take alcohol or use substances.  On examination, he is conscious and alert, pupils are 3 mm bilaterally and reactive to light. Normal tone, power and reflexes in all limbs"
P0311,M22,A,1,Gemini-Flash,Teaching Hospital Osun State Nigeria,2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching Hospital Osun State Nigeria.

A 28 year old man presents with a 1 hour hx of sudden jerking movements of the body and upwards rolling of the eyes of about 2 minutes duration. Witness said he was unresponsive during the episode. There is no history of similar history in the past. He is not a known Epilepsy patient, how ever there is a family history of Epilepsy in the father which started in his early 30s. There is no hx of headache, fever or photophobia.  No preceding history of head trauma. Does not take alcohol or use substances.  On examination, he is conscious and alert, pupils are 3 mm bilaterally and reactive to light. Normal tone, power and reflexes in all limbs"
P0312,M22,A,1,LLaMA-3-70B,Teaching Hospital Osun State Nigeria,2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching Hospital Osun State Nigeria.

A 28 year old man presents with a 1 hour hx of sudden jerking movements of the body and upwards rolling of the eyes of about 2 minutes duration. Witness said he was unresponsive during the episode. There is no history of similar history in the past. He is not a known Epilepsy patient, how ever there is a family history of Epilepsy in the father which started in his early 30s. There is no hx of headache, fever or photophobia.  No preceding history of head trauma. Does not take alcohol or use substances.  On examination, he is conscious and alert, pupils are 3 mm bilaterally and reactive to light. Normal tone, power and reflexes in all limbs"
P0313,M22,B,1,GPT-4o-mini,General hospital Osun State Nigeria,2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Osun State Nigeria.

A 28 year old man presents with a 1 hour hx of sudden jerking movements of the body and upwards rolling of the eyes of about 2 minutes duration. Witness said he was unresponsive during the episode. There is no history of similar history in the past. He is not a known Epilepsy patient, how ever there is a family history of Epilepsy in the father which started in his early 30s. There is no hx of headache, fever or photophobia.  No preceding history of head trauma. Does not take alcohol or use substances.  On examination, he is conscious and alert, pupils are 3 mm bilaterally and reactive to light. Normal tone, power and reflexes in all limbs"
P0314,M22,B,1,Claude-Sonnet,General hospital Osun State Nigeria,2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Osun State Nigeria.

A 28 year old man presents with a 1 hour hx of sudden jerking movements of the body and upwards rolling of the eyes of about 2 minutes duration. Witness said he was unresponsive during the episode. There is no history of similar history in the past. He is not a known Epilepsy patient, how ever there is a family history of Epilepsy in the father which started in his early 30s. There is no hx of headache, fever or photophobia.  No preceding history of head trauma. Does not take alcohol or use substances.  On examination, he is conscious and alert, pupils are 3 mm bilaterally and reactive to light. Normal tone, power and reflexes in all limbs"
P0315,M22,B,1,Gemini-Flash,General hospital Osun State Nigeria,2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Osun State Nigeria.

A 28 year old man presents with a 1 hour hx of sudden jerking movements of the body and upwards rolling of the eyes of about 2 minutes duration. Witness said he was unresponsive during the episode. There is no history of similar history in the past. He is not a known Epilepsy patient, how ever there is a family history of Epilepsy in the father which started in his early 30s. There is no hx of headache, fever or photophobia.  No preceding history of head trauma. Does not take alcohol or use substances.  On examination, he is conscious and alert, pupils are 3 mm bilaterally and reactive to light. Normal tone, power and reflexes in all limbs"
P0316,M22,B,1,LLaMA-3-70B,General hospital Osun State Nigeria,2,B,C,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Osun State Nigeria.

A 28 year old man presents with a 1 hour hx of sudden jerking movements of the body and upwards rolling of the eyes of about 2 minutes duration. Witness said he was unresponsive during the episode. There is no history of similar history in the past. He is not a known Epilepsy patient, how ever there is a family history of Epilepsy in the father which started in his early 30s. There is no hx of headache, fever or photophobia.  No preceding history of head trauma. Does not take alcohol or use substances.  On examination, he is conscious and alert, pupils are 3 mm bilaterally and reactive to light. Normal tone, power and reflexes in all limbs"
